transaction_hash,provider,gas,gasPrice,gasPriceAdjusted,amount,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp,lowerTick,upperTick
0xee85f557cbf862612f288647eee23553e58be42c0509488b75a19f1515d3f2ba,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,380462,20702609980,2.070260998e-08,12519968730022,0,-206677811069112852,0.0,-0.20667781106911284,21165154,2024-11-11 14:51:47+00:00,262140,262800
0x7674c06cd6b3462432140f295e73c0623d4db91d71d467690ce98a4be5469bc4,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,351303,33457882684,3.3457882684e-08,597950512246566,0,-37834433135548869767,0.0,-37.83443313554887,21165343,2024-11-11 15:29:35+00:00,258420,261300
0x76065df536877b9eda040a139d3a591021595ba65388583b9c6003165999b682,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,304321,55725873686,5.5725873686e-08,0,0,0,0.0,0.0,21165686,2024-11-11 16:38:35+00:00,254220,257880
0xfa6ee5cb954f1cfb4a174a1d3375ad98014a741fac1cbac9d24824114bdf62f5,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,286848,50319705287,5.0319705287e-08,10492434019375,0,-697731800410005370,0.0,-0.6977318004100054,21165696,2024-11-11 16:40:35+00:00,254220,257880
0x5c6152e59db6bcfea29ca949fc32a28e78a9d25b7aa7579b8f7bbb30536927fc,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,354626,42116539423,4.2116539423e-08,0,0,0,0.0,0.0,21166496,2024-11-11 19:21:47+00:00,256260,270120
0x66a45dc2563e49822854b96be6972d322bd5062ff6e386f89d7c14f8c025bcaf,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,341270,84419367640,8.441936764e-08,298940847766896640,-260324983,-390012597798256572465,-2.60324983,-390.0125977982566,21166756,2024-11-11 20:13:47+00:00,262860,262920
0xa5d5cb055c8c4247c0439ee94d1ec2ab50f219283621c13cc315cec0bfef54e2,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,283758,43197651896,4.3197651896e-08,0,0,0,0.0,0.0,21166865,2024-11-11 20:35:35+00:00,261540,263520
0x70fc3b1ea8d7e0e4ace4c67010bc2e968a025c701af5c3abd56932622de913a5,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,280462,45330501118,4.5330501118e-08,0,0,0,0.0,0.0,21167695,2024-11-11 23:22:23+00:00,261960,264720
0x18f87a038e4312f192962ab9253eda559f52ef4f85c2ded15e2072cd71c35f6f,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,352620,46445851510,4.644585151e-08,145299718007901,-41596287,-30795470808354103922,-0.41596287,-30.795470808354104,21167945,2024-11-12 00:12:23+00:00,252240,266100
0x18f87a038e4312f192962ab9253eda559f52ef4f85c2ded15e2072cd71c35f6f,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,352620,46445851510,4.644585151e-08,0,0,0,0.0,0.0,21167945,2024-11-12 00:12:23+00:00,252240,266100
0xbe4fe26dc108f810fee5c23d00ade91d245feee4f44d4edd33317483ff35bb9b,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,379210,27440238948,2.7440238948e-08,6510031006288272974,-236605920,-10033565417104673925817,-2.3660592,-10033.565417104674,21168237,2024-11-12 01:10:59+00:00,263100,263160
0xf4442b6993a2fb52183679ae308e80b834ce5be816ab96a56ea1b48ee7ffae9e,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,283858,31232917732,3.1232917732e-08,0,0,0,0.0,0.0,21169883,2024-11-12 06:42:47+00:00,252540,266400
0xa969af943db66d6bfcfdcf8a9a0c69fc1b7b82cf2448d1dc9511eddb944b2bc8,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,283858,33114029348,3.3114029348e-08,0,0,0,0.0,0.0,21170708,2024-11-12 09:28:47+00:00,251940,265800
0x2e456d856a3a8e6a87d0241257f35c0cca8a7fcc7e11ea0a59a81f9ab5e38f48,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,310579,30368973434,3.0368973434e-08,596393593488273,0,-15083802711287036974,0.0,-15.083802711287037,21170735,2024-11-12 09:34:11+00:00,259500,260640
