transaction_hash,provider,gas,gasPrice,gasPriceAdjusted,amount,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp,lowerTick,upperTick
0xee85f557cbf862612f288647eee23553e58be42c0509488b75a19f1515d3f2ba,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,380462,20702609980,2.070260998e-08,12519968730022,0,-206677811069112852,0.0,-0.20667781106911284,21165154,2024-11-11 14:51:47+00:00,262140,262800
0x7674c06cd6b3462432140f295e73c0623d4db91d71d467690ce98a4be5469bc4,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,351303,33457882684,3.3457882684e-08,597950512246566,0,-37834433135548869767,0.0,-37.83443313554887,21165343,2024-11-11 15:29:35+00:00,258420,261300
0x9f955f92001dba56be14b12814dcad5278023d2040d5a8b728c1cef842229c82,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,490641,36581955257,3.6581955257e-08,48201960810246,94527182,24579480492208922110,0.94527182,24.579480492208923,21165595,2024-11-11 16:20:11+00:00,-887220,887220
0x76065df536877b9eda040a139d3a591021595ba65388583b9c6003165999b682,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,304321,55725873686,5.5725873686e-08,0,0,0,0.0,0.0,21165686,2024-11-11 16:38:35+00:00,254220,257880
0xfa6ee5cb954f1cfb4a174a1d3375ad98014a741fac1cbac9d24824114bdf62f5,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,286848,50319705287,5.0319705287e-08,10492434019375,0,-697731800410005370,0.0,-0.6977318004100054,21165696,2024-11-11 16:40:35+00:00,254220,257880
0x5c6152e59db6bcfea29ca949fc32a28e78a9d25b7aa7579b8f7bbb30536927fc,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,354626,42116539423,4.2116539423e-08,0,0,0,0.0,0.0,21166496,2024-11-11 19:21:47+00:00,256260,270120
0x687516e7fe5ddac9c66413d8ba978b5572fb534dd6ecf0e59bce7793d54e8d08,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,270777,39709962110,3.970996211e-08,298940847766896640,307192496,377756567704835700765,3.07192496,377.7565677048357,21166756,2024-11-11 20:13:47+00:00,262860,262920
0x66a45dc2563e49822854b96be6972d322bd5062ff6e386f89d7c14f8c025bcaf,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,341270,84419367640,8.441936764e-08,298940847766896640,-260324983,-390012597798256572465,-2.60324983,-390.0125977982566,21166756,2024-11-11 20:13:47+00:00,262860,262920
0xa5d5cb055c8c4247c0439ee94d1ec2ab50f219283621c13cc315cec0bfef54e2,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,283758,43197651896,4.3197651896e-08,0,0,0,0.0,0.0,21166865,2024-11-11 20:35:35+00:00,261540,263520
0x23ab340cdbc32706e93023f8a45ac444c22dcd6a98ca8d2f215b110013ae8be2,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,491347,47534175745,4.7534175745e-08,102468596607202,200000000,52499066453246734750,2.0,52.49906645324673,21167223,2024-11-11 21:47:35+00:00,-887220,887220
0x4b8ace980973fc09f266e3d47cf95e4c83a791d682af2a89348cd730a1ae74c9,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,1038286,44913012176,4.4913012176e-08,14170195099894,2168608,479481688502385667,0.02168608,0.47948168850238565,21167297,2024-11-11 22:02:23+00:00,261600,264600
0x70fc3b1ea8d7e0e4ace4c67010bc2e968a025c701af5c3abd56932622de913a5,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,280462,45330501118,4.5330501118e-08,0,0,0,0.0,0.0,21167695,2024-11-11 23:22:23+00:00,261960,264720
0x18f87a038e4312f192962ab9253eda559f52ef4f85c2ded15e2072cd71c35f6f,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,352620,46445851510,4.644585151e-08,145299718007901,-41596287,-30795470808354103922,-0.41596287,-30.795470808354104,21167945,2024-11-12 00:12:23+00:00,252240,266100
0x18f87a038e4312f192962ab9253eda559f52ef4f85c2ded15e2072cd71c35f6f,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,352620,46445851510,4.644585151e-08,0,0,0,0.0,0.0,21167945,2024-11-12 00:12:23+00:00,252240,266100
