tickIdx,liquidityGross,liquidityNet
206580,54402074932,54402074932
214920,31454785349939,31454785349939
216420,3151604679224,3151604679224
217740,31454785349939,-31454785349939
223320,340095002,340095002
230160,1670921212240,1670921212240
230280,6475888772280,3133366157796
231180,10325006026,10325006026
231240,9636087679,9636087679
231300,4067292562252,4067292562252
231360,10098305733,10098305733
231420,105440390087,105440390087
231480,389377464792,389377464792
231540,62725860270,62725860270
234300,379213263309,-379213263309
237180,622029212986,469677301440
239460,8584538262056,8584538262056
239760,12015931831256,12015931831256
240420,5857611184796,5857611184796
240780,7818819408261,7818819408261
241260,1856215464927,1856215464927
241380,7814421206784,7814421206784
242340,3373862096954,3373862096954
243360,5369432313569,5369432313569
244860,893004067318,893004067318
245940,76701235421656,76701235421656
246180,4890971540,4890971540
246360,872115528325836,872115528325836
246480,108468560122,108468560122
246660,13332022038787,13332022038787
246780,9530357549,9530357549
246840,1143995552,1143995552
246960,14264473913293,14264473913293
247320,48519918747269,48519918747269
247380,132082423400388,132082423400388
247440,637554050764081,637554050764081
247620,487875820420,487875820420
247860,1649567047148,1649567047148
247980,23028334649368,23028334649368
248040,254596974393,254596974393
248100,6070743325515,6070743325515
248160,92603655351387,92603655351387
248280,1490329481300,1490329481300
248400,3028378401643,3028378401643
248580,103106629520,103106629520
248640,193573572275,193573572275
248700,97077449709202,97077449709202
248880,1191600446578,1191600446578
249000,372745130402934,372745130402934
249060,9471041602366,9471041602366
249120,39044742587,39044742587
249180,146503968744,146503968744
249240,213788187530362,213788187530362
249300,635417428001577,635417428001577
249360,197942145745612,197942145745612
249420,561472754423,561472754423
249480,44931533032563,44931533032563
249540,238272611632152,238272611632152
249600,2671671127048,2671671127048
249660,49088126427395,49088126427395
249720,89948723431480,89948723431480
249780,6423851479267,6423851479267
249840,46591160757527,46591160757527
249900,220794726525202,220794726525202
249960,954164900881822,954164900881822
250020,11761163997653,11761163997653
250080,161963828791402,161963828791402
250140,304108865965147,304108865965147
250200,31224338121135,31224338121135
250260,182417972577763,182417972577763
250320,13409268993447,13409268993447
250380,7238616413591,7238616413591
250440,19261518451709,19261518451709
250500,219496611409174,219496611409174
250560,26156816272,26156816272
250620,531539037018797,531539037018797
250680,178420510441493,178420510441493
250740,6511760535629,6511760535629
250800,251664123986,251664123986
250860,286751376983172,286751376983172
250920,36299795951041,36299795951041
250980,224707983199,224707983199
251040,733247911816440,733247911816440
251100,30061536441575,30061536441575
251160,551144177,551144177
251220,218321063372293,218321063372293
251280,1749040447429,1749040447429
251340,244785159228991,244785159228991
251400,23072218799196,23072218799196
251460,1733205901632,1733205901632
251520,21192152937359,21192152937359
251580,908997014415663,908997014415663
251640,214898561713,214898561713
