transaction_hash,provider,gas,gasPrice,gasPriceAdjusted,amount,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp,lowerTick,upperTick
0x9f955f92001dba56be14b12814dcad5278023d2040d5a8b728c1cef842229c82,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,490641,36581955257,3.6581955257e-08,48201960810246,94527182,24579480492208922110,0.94527182,24.579480492208923,21165595,2024-11-11 16:20:11+00:00,-887220,887220
0x687516e7fe5ddac9c66413d8ba978b5572fb534dd6ecf0e59bce7793d54e8d08,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,270777,39709962110,3.970996211e-08,298940847766896640,307192496,377756567704835700765,3.07192496,377.7565677048357,21166756,2024-11-11 20:13:47+00:00,262860,262920
0x23ab340cdbc32706e93023f8a45ac444c22dcd6a98ca8d2f215b110013ae8be2,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,491347,47534175745,4.7534175745e-08,102468596607202,200000000,52499066453246734750,2.0,52.49906645324673,21167223,2024-11-11 21:47:35+00:00,-887220,887220
0x4b8ace980973fc09f266e3d47cf95e4c83a791d682af2a89348cd730a1ae74c9,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,1038286,44913012176,4.4913012176e-08,14170195099894,2168608,479481688502385667,0.02168608,0.47948168850238565,21167297,2024-11-11 22:02:23+00:00,261600,264600
0x4bb80dab981df2ef8c76daa642d36d2542961957be31c46891f25c8e53d2e5e2,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,770091,30390672606,3.0390672606e-08,38075473950122,5313818,1479070348005646831,0.05313818,1.4790703480056469,21168231,2024-11-12 01:09:47+00:00,261600,264660
0x66d14eb920cfee7deeb6b18c614e85cf94add84ce27b692c93cc98ba43e698b2,0xf5a96d43E4B9a2C47f302B54d006D7E20f038658,606582,27440238948,2.7440238948e-08,6510031006288272974,138800696,10059787746532914458292,1.38800696,10059.787746532915,21168237,2024-11-12 01:10:59+00:00,263100,263160
0x038cc255721859f6ce077cb7aa2f6035dd614c96df45b2ece64e9708cef616bf,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,288631,27232336851,2.7232336851e-08,247306828802,93537,48443920111585300,0.00093537,0.0484439201115853,21168299,2024-11-12 01:23:23+00:00,253680,267540
0x3cab00ca58a5fe6a6cb5517d3842fd9c7a14e5befa836e63436cdbfba745a075,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,491361,26320254410,2.632025441e-08,656083041333573,1266014580,339999999941153360296,12.6601458,339.99999994115336,21168322,2024-11-12 01:27:59+00:00,-887220,887220
0xc8ef8797e9dabc5de4a3f55c03b3eb745c5ca6c965e0a3d65d265133d88197f0,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,1061927,21108013449,2.1108013449e-08,41012745787409,6032005,1392637474586300833,0.06032005,1.3926374745863008,21168446,2024-11-12 01:52:59+00:00,261720,264660
0xcda757469df4a901774ca46700d85616d93de3a22076616a88cff2fc50f49e36,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,510932,38758134151,3.8758134151e-08,1762818456747,999864,266499360386705946,0.00999864,0.26649936038670596,21169418,2024-11-12 05:08:47+00:00,256080,269940
0xb5da0057c54449d38559d2819d39e90964119df1cc1baa789f03d3d0e357634c,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,510212,33724817389,3.3724817389e-08,409259821487,213777,81825038791196580,0.00213777,0.08182503879119658,21172937,2024-11-12 16:56:47+00:00,253320,269400
0x86dbab4d9df6bc9128a7ad715b2b27ccc400402cbdef3f2e47aa6e33ac4516e5,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,1033906,33061687614,3.3061687614e-08,26673645486935,3955217,935328820198399707,0.03955217,0.9353288201983997,21172997,2024-11-12 17:08:47+00:00,261720,264720
0x5184afff16ce96e4dbc8404f755de09135c842ca09fdbb18d733b645eed00567,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,592460,28272459699,2.8272459699e-08,39797794565,2154,1405421008371434,2.154e-05,0.001405421008371434,21174650,2024-11-12 22:40:23+00:00,261780,263760
0x7456571222df342d140bdd869a3161e592d19858506bbf480a32aa0ef8f00ec0,0xf5a96d43E4B9a2C47f302B54d006D7E20f038658,571664,20547341869,2.0547341869e-08,6397236428756702309,2622583371,9244631441921612664800,26.22583371,9244.631441921612,21174953,2024-11-12 23:41:11+00:00,263160,263220
0x7f48833271b392d06efe67fe36a5ffd033850403aca3b7505310642a2c71c932,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,548665,27740076132,2.7740076132e-08,546366664806652,25506488,9899999940777024707,0.25506488,9.899999940777025,21176524,2024-11-13 04:57:23+00:00,262620,263820
0x35c573721ea26febf188a310bac4308b39afc3d9529179eb6ee61b79980450e7,0xf5a96d43E4B9a2C47f302B54d006D7E20f038658,571520,16827747687,1.6827747687e-08,6761221220533466041,3983869873,9519442415701600041808,39.83869873,9519.4424157016,21176881,2024-11-13 06:08:47+00:00,263340,263400
0x79162b1257d40922080ca7c8abe2fcec6416c66e68ebd68e1fadc6cec6074402,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,245790,19574451456,1.9574451456e-08,3496877217965,2020,136944272149695280,2.02e-05,0.1369442721496953,21176955,2024-11-13 06:23:35+00:00,261840,263400
0x18ed46cf925362631965d701a977bda7a1297d3b6f7419a4e8c595a16e0ff358,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,506203,18748669642,1.8748669642e-08,75056995100298,3745729,1864892546837727833,0.03745729,1.8648925468377278,21177299,2024-11-13 07:32:47+00:00,262500,264000
0xe3d1d01cb8ccf76c400e04cb4445f6755b32ef659c2acfc68d44ad54909666ae,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,686039,16884568566,1.6884568566e-08,578159425324276,50092451,28999999639238476761,0.50092451,28.999999639238478,21177750,2024-11-13 09:03:23+00:00,261420,264360
