transaction_hash,sender,recipient,gas,gasPrice,gasPriceAdjusted,value,WBTCTokens,ETHTokens,WBTCTokensAdjusted,ETHTokensAdjusted,block,timestamp
0xff093edefa3006e5deef2d9df9fe8f9f152a2059c6849d90f987398e9d133bf3,0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,0xe8f7c89C5eFa061e340f2d2F206EC78FD8f7e124,312097,73611421959,7.3611421959e-08,0.0,-25797857,6688199996195471360,-0.25797857,6.688199996195471,21165123,2024-11-11 14:45:35+00:00
0x9b7b12b58ede966d42e817c024583f1724fd63292aaa1fecb3c8bee4a0ef3e14,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,226232,50793176791,5.0793176791e-08,2.1165126e-11,-55511804,14396932771234011139,-0.55511804,14.396932771234011,21165126,2024-11-11 14:46:11+00:00
0x8bf4069a1f30c4a09b1be908cdaaf58a15731a8026692b91aceafcf9548c8267,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,0xd4bC53434C5e12cb41381A556c3c47e1a86e80E3,272121,54535308342,5.4535308342e-08,1.91e-16,-59948876,15555251160943165440,-0.59948876,15.555251160943165,21165127,2024-11-11 14:46:23+00:00
0x2b3c5c8a7e4082594bc745cfeb8ac6bac5099543a7eb7803f2104762b99478e2,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,1023157,31565461781,3.1565461781e-08,0.0,-272475549,70793554640244347192,-2.72475549,70.79355464024435,21165183,2024-11-11 14:57:35+00:00
0x5ed2ec6a883128139339f6a9763e7ee37b7eb132b5fb78303c1047dea90859bc,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,228440,27228145519,2.7228145519e-08,4.09216e-12,101703252,-26283594665321891574,1.01703252,-26.283594665321893,21165228,2024-11-11 15:06:35+00:00
0xd919c62151ecdd6f98501a43a70e5f8e8c9a0643b6045d75afb5fc9a51156ac1,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,228950,57281361718,5.7281361718e-08,2.1165324e-11,83621571,-21594901018299956763,0.83621571,-21.594901018299957,21165324,2024-11-11 15:25:47+00:00
0xda23e59caa73fb79e9d77edfcdf81a5ee19d5cb497df5d11c93c267e207eec5b,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,225748,32908284649,3.2908284649e-08,6.927104e-12,-73979296,19219260164655208143,-0.73979296,19.219260164655207,21165353,2024-11-11 15:31:35+00:00
0xb2077c9f446ed7ba039349a61714d0803c6100a8eebc0f70bb11dff41e7d7be7,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,228950,104339382707,1.04339382707e-07,2.1165365e-11,114912110,-29669687416554587746,1.1491211,-29.669687416554588,21165365,2024-11-11 15:33:59+00:00
0x1640ec181e92721aff74dca09abf8781230e331e9c77e31ea533d46d01e680b8,0x51C72848c68a965f66FA7a88855F9f7784502a7F,0x51C72848c68a965f66FA7a88855F9f7784502a7F,431430,36707710870,3.670771087e-08,0.0,324514926,-83636496284804752027,3.24514926,-83.63649628480475,21165371,2024-11-11 15:35:11+00:00
0xb8e512c87e56483dce3c912ed24884466bbc06fcfe486793921bb41ab0e46a43,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,0x68d3A973E7272EB388022a5C6518d9b2a2e66fBf,226232,67233249496,6.7233249496e-08,2.1165397e-11,-86989946,22531274559795729974,-0.86989946,22.53127455979573,21165397,2024-11-11 15:40:23+00:00
0x5b957218762ca0ed900b7a31e91cf72d10820cd8b1576bbc093e852e7166814d,0x111111125421cA6dc452d289314280a0f8842A65,0x111111125421cA6dc452d289314280a0f8842A65,1780990,41219106238,4.1219106238e-08,0.0,-35731544,9259944805589924165,-0.35731544,9.259944805589924,21165402,2024-11-11 15:41:23+00:00
